"filename", "language", "JavaScript", "JavaScript React", "CSS", "JSON", "Markdown", "HTML", "SQL", "comment", "blank", "total"
"/Users/curtiskettler/Google Drive/Coding/Prime/Tier3/prime-group-project-2021/PROJECT_README.md", "Markdown", 0, 0, 0, 0, 51, 0, 0, 0, 23, 74
"/Users/curtiskettler/Google Drive/Coding/Prime/Tier3/prime-group-project-2021/PostmanPrimeSoloRoutes.json", "JSON", 0, 0, 0, 77, 0, 0, 0, 0, 0, 77
"/Users/curtiskettler/Google Drive/Coding/Prime/Tier3/prime-group-project-2021/PostmanPrimeSoloRoutesv2.json", "JSON", 0, 0, 0, 62, 0, 0, 0, 0, 1, 63
"/Users/curtiskettler/Google Drive/Coding/Prime/Tier3/prime-group-project-2021/README.md", "Markdown", 0, 0, 0, 0, 49, 0, 0, 0, 24, 73
"/Users/curtiskettler/Google Drive/Coding/Prime/Tier3/prime-group-project-2021/database.sql", "SQL", 0, 0, 0, 0, 0, 0, 135, 8, 24, 167
"/Users/curtiskettler/Google Drive/Coding/Prime/Tier3/prime-group-project-2021/package.json", "JSON", 0, 0, 0, 56, 0, 0, 0, 0, 1, 57
"/Users/curtiskettler/Google Drive/Coding/Prime/Tier3/prime-group-project-2021/public/index.html", "HTML", 0, 0, 0, 0, 0, 20, 0, 0, 1, 21
"/Users/curtiskettler/Google Drive/Coding/Prime/Tier3/prime-group-project-2021/server/constants/warnings.js", "JavaScript", 17, 0, 0, 0, 0, 0, 0, 0, 7, 24
"/Users/curtiskettler/Google Drive/Coding/Prime/Tier3/prime-group-project-2021/server/modules/authentication-middleware.js", "JavaScript", 8, 0, 0, 0, 0, 0, 0, 4, 2, 14
"/Users/curtiskettler/Google Drive/Coding/Prime/Tier3/prime-group-project-2021/server/modules/encryption.js", "JavaScript", 13, 0, 0, 0, 0, 0, 0, 10, 6, 29
"/Users/curtiskettler/Google Drive/Coding/Prime/Tier3/prime-group-project-2021/server/modules/pool.js", "JavaScript", 31, 0, 0, 0, 0, 0, 0, 11, 8, 50
"/Users/curtiskettler/Google Drive/Coding/Prime/Tier3/prime-group-project-2021/server/modules/session-middleware.js", "JavaScript", 20, 0, 0, 0, 0, 0, 0, 11, 6, 37
"/Users/curtiskettler/Google Drive/Coding/Prime/Tier3/prime-group-project-2021/server/routes/attendance.route.js", "JavaScript", 50, 0, 0, 0, 0, 0, 0, 23, 15, 88
"/Users/curtiskettler/Google Drive/Coding/Prime/Tier3/prime-group-project-2021/server/routes/configuration.route.js", "JavaScript", 70, 0, 0, 0, 0, 0, 0, 11, 18, 99
"/Users/curtiskettler/Google Drive/Coding/Prime/Tier3/prime-group-project-2021/server/routes/occurrence.route.js", "JavaScript", 80, 0, 0, 0, 0, 0, 0, 6, 13, 99
"/Users/curtiskettler/Google Drive/Coding/Prime/Tier3/prime-group-project-2021/server/routes/program.route.js", "JavaScript", 169, 0, 0, 0, 0, 0, 0, 16, 30, 215
"/Users/curtiskettler/Google Drive/Coding/Prime/Tier3/prime-group-project-2021/server/routes/student.route.js", "JavaScript", 174, 0, 0, 0, 0, 0, 0, 10, 22, 206
"/Users/curtiskettler/Google Drive/Coding/Prime/Tier3/prime-group-project-2021/server/routes/user.router.js", "JavaScript", 134, 0, 0, 0, 0, 0, 0, 16, 37, 187
"/Users/curtiskettler/Google Drive/Coding/Prime/Tier3/prime-group-project-2021/server/server.js", "JavaScript", 27, 0, 0, 0, 0, 0, 0, 13, 11, 51
"/Users/curtiskettler/Google Drive/Coding/Prime/Tier3/prime-group-project-2021/server/strategies/user.strategy.js", "JavaScript", 44, 0, 0, 0, 0, 0, 0, 16, 6, 66
"/Users/curtiskettler/Google Drive/Coding/Prime/Tier3/prime-group-project-2021/src/components/AboutPage/AboutPage.jsx", "JavaScript React", 0, 11, 0, 0, 0, 0, 0, 4, 4, 19
"/Users/curtiskettler/Google Drive/Coding/Prime/Tier3/prime-group-project-2021/src/components/AdminView/AddProgram.jsx", "JavaScript React", 0, 95, 0, 0, 0, 0, 0, 3, 9, 107
"/Users/curtiskettler/Google Drive/Coding/Prime/Tier3/prime-group-project-2021/src/components/AdminView/AddStaff.jsx", "JavaScript React", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/curtiskettler/Google Drive/Coding/Prime/Tier3/prime-group-project-2021/src/components/AdminView/AddStudent.jsx", "JavaScript React", 0, 143, 0, 0, 0, 0, 0, 3, 9, 155
"/Users/curtiskettler/Google Drive/Coding/Prime/Tier3/prime-group-project-2021/src/components/AdminView/AdminView.css", "CSS", 0, 0, 21, 0, 0, 0, 0, 0, 6, 27
"/Users/curtiskettler/Google Drive/Coding/Prime/Tier3/prime-group-project-2021/src/components/AdminView/AdminViewConfig.jsx", "JavaScript React", 0, 88, 0, 0, 0, 0, 0, 0, 10, 98
"/Users/curtiskettler/Google Drive/Coding/Prime/Tier3/prime-group-project-2021/src/components/AdminView/AdminViewProgram.jsx", "JavaScript React", 0, 33, 0, 0, 0, 0, 0, 0, 8, 41
"/Users/curtiskettler/Google Drive/Coding/Prime/Tier3/prime-group-project-2021/src/components/AdminView/AdminViewStaff.jsx", "JavaScript React", 0, 34, 0, 0, 0, 0, 0, 0, 7, 41
"/Users/curtiskettler/Google Drive/Coding/Prime/Tier3/prime-group-project-2021/src/components/AdminView/AdminViewStudent.jsx", "JavaScript React", 0, 29, 0, 0, 0, 0, 0, 0, 10, 39
"/Users/curtiskettler/Google Drive/Coding/Prime/Tier3/prime-group-project-2021/src/components/AdminView/Dashboard.css", "CSS", 0, 0, 8, 0, 0, 0, 0, 0, 3, 11
